house_name,house_location,house_status,house_price,price_unit
成都后花园蝶院,[ 郫都 犀浦 ] 国宁东路919号,在售,12300,元/㎡
中国铁建西派国樾,[ 双流 华阳 ] 华府大道与万顺大道交汇处,在售,18000,元/㎡起
诚园,[ 双流 华阳 ] 万顺路与华府大道交汇处,在售,19900,元/㎡
天立世纪华府,[ 彭州 彭州 ] 西河东路555号,在售,7900,元/㎡起
福星惠誉青城府,[ 都江堰 都江堰 ] 玉堂镇鑫玉大道426号,在售,11820,元/㎡起
天和睿城,[ 青白江 青白江 ] 红阳路与凤祥大道交叉口,在售,7300,元/㎡起
嘉裕第六洲观澜云邸,[ 崇州 崇州 ] 羊马镇嘉洲路1019号,在售,5555,元/㎡起
新城悦隽盛世,[ 青白江 青白江 ] 大同路附近,在售,10700,元/㎡
雅居乐锦城,[ 新津 新津 ] 五津镇希望东路199号,在售,11600,元/㎡
龙湖天宸原著,[ 武侯 外双楠 ] 武侯大道与智谷大道交汇处,在售,24000,元/㎡
格林城,[ 双流 华阳 ] 长顺大道一段100号,在售,14500,元/㎡
朗基香颂天府,[ 天府新区 眉山 ] 视高四川通用航空职业学院旁,在售,12000,元/㎡起
华邑宸居,[ 郫都 犀浦 ] 龙梓路（6号线梓潼宫站旁）,在售,17000,元/㎡
桂溪欧苑,[ 郫都 其他 ] 平安路6号,在售,11600,元/㎡
天府金融港,[ 天府新区 眉山 ] 天府新区天府大道视高段（天府大道与兰...,在售,14200,元/㎡
北星城,"[ 金牛 天回 ] 天龙大道,近天音路",待售,15976,元/m²
伊泰天骄,[ 锦江 东大街 ] 通宝街88号,在售,28500,元/㎡
御龙山,[ 成华 塔子山 ] 御风二路,在售,27000,元/㎡
宝信青城,"[ 都江堰 青城山 ] 106省道,近聚青路",在售,12000,元/㎡
花样年家天下,[ 双流 华阳 ] 天府五街与江安河交汇处（天府软件园E...,在售,13800,元/㎡起
朗基香樾府,[ 新都 大丰镇 ] 成都市北部新城新都区大丰街道先驱大道...,在售,12000,元/㎡
凤凰盛景,[ 青白江 青白江 ] 青白江区大弯凤翔大道1699号,在售,7600,元/㎡
润富国际998,[ 高新 天府新城 ] 交子大道998号,在售,25000,元/㎡
天府金茂悦,[ 金堂 金堂 ] 赵镇金琅北街12号,在售,11500,元/㎡起
蔚蓝卡地亚云墅,[ 郫都 郫县 ] 郫花路888号,待售,9533,元/m²
棠湖清江花语,[ 青白江 青白江 ] 青白江区红阳华金大道二段699号（公安...,在售,7000,元/㎡
香悦城,[ 高新 大源 ] 益州大道中段699号（天府一街与天府二...,在售,27000,元/㎡起
西街上院,[ 青白江 青白江 ] 金渊路81号,在售,6500,元/㎡起
瀚城新天地,[ 青白江 青白江 ] 大湾学苑路218号,在售,7400,元/㎡
祥荣城市绿洲,[ 大邑 大邑 ] 元通路南段268号,待售,9184,元/m²
明豪澜庭,[ 都江堰 都江堰 ] 蒲阳河畔（人工湖对面）,在售,7700,元/㎡
龙湖梵城,[ 成华 建设路 ] 成华区新成华大道与建工路交叉口东20米,在售,16000,元/㎡起
国凤新派客,[ 新都 蓉都大道 ] 蓉都大道南二段133号,在售,9000,元/㎡
旭辉金科棠府,[ 双流 新双楠 ] 棠湖中学（新校区）旁,在售,17000,元/㎡起
三利麓山城,[ 天府新区 麓山 ] 万东北一路18号,待售,14140,元/m²
建工梧桐屿,[ 青白江 青白江 ] 成都青白江凤祥大道与凤凰西二路交汇处,在售,7200,元/㎡起
蜀青丽晶府,[ 青白江 青白江 ] 青华东路248号（与大夫北路交汇处）,在售,5808,元/㎡起
朗诗熙华府,[ 高新 天府新城 ] 盛治街777号,待售,23575,元/m²
吉祥湾,[ 金堂 金堂 ] 淮口镇书院街199号,在售,4888,元/㎡起
泰华锦城2,[ 龙泉驿 龙泉驿 ] 大面镇青台山路439号,在售,8500,元/㎡起
青秀未遮山,[ 成华 八里庄 ] 新八里庄61号（红星路源点）,待售,14300,元/m²
蓝光公园锦汇住宅,[ 青白江 青白江 ] 凤凰大道二段699号田园广场正对面,待售,8341,元/m²
七一城市森林花园,[ 新都 石油大学 ] 成都市新都区新泰东路71号,在售,12300,元/㎡
中国铁建西派国樾,价格,在售,18000,元/㎡起
诚园,[ 双流 华阳 ] 万顺路与华府大道交汇处,在售,19900,元/㎡
百悦城plus,[ 龙泉驿 经开区 ] 大面街道新建路118号,在售,13939,元/㎡
天立世纪华府,[ 彭州 彭州 ] 西河东路555号,在售,7900,元/㎡起
希望未来城,[ 金堂 金堂 ] 学府大道555号,在售,6100,元/㎡起
经典西悦城,[ 崇州 崇州 ] 羊马新城崇阳大道（润恒城旁）,在售,5869,元/㎡起
福星惠誉青城府,[ 都江堰 都江堰 ] 玉堂镇鑫玉大道426号,在售,11820,元/㎡起
山水华府,[ 大邑 大邑 ] 滨江东路北二段136号（斜江河畔，静惠...,在售,4900,元/㎡起
天和睿城,[ 青白江 青白江 ] 红阳路与凤祥大道交叉口,在售,7300,元/㎡起
