house_name,house_location,house_status,house_price,price_unit
润和国际广场,价格,在售,15000,元/㎡
绿城高尔夫小镇,[ 望城 雷锋大道 ] 龙湖路,在售,400,万元/套
光明碧桂园·培文府,[ 望城 雷锋大道 ] 雷锋大道与月亮岛路交汇处西行约500米,在售,7700,元/㎡
和泓融成府,[ 天心 南城省府 ] 万家丽路与中意二路交叉口东北角,在售,9200,元/㎡
阳光城檀悦,[ 开福 开福中心 ] 开福区中山路48号,在售,18000,元/㎡
新世界柏樾,[ 雨花 雨花中心 ] 东二环与长沙大道交汇处向南200米,在售,9900,元/㎡
正荣财富中心,[ 望城 斑马湖 ] 望城大道与旺旺东路交汇处东北角（望城...,在售,6300,元/㎡
锦天金岸雅苑,[ 天心 天心中心 ] 书院南路577号,在售,11500,元/㎡
碧桂园滨江府,[ 宁乡 宁乡 ] 宁乡市白马大道（汽车南站南行1500米）,在售,5800,元/㎡
南山十里天池,[ 岳麓 麓南含浦 ] 云栖路556号,在售,7800,元/㎡
帝辰·金缇水郡,[ 望城 其他 ] 湘江大道与丁江路交汇处,在售,6180,元/㎡
文景领秀二期,[ 天心 新开铺 ] 书院南路与友谊西路交汇处东南角（友谊...,待售,9500,元/㎡
金富星悦汇,"[ 望城 月亮岛 ] 普瑞大道,近金甲冲路",在售,6400,元/㎡
润和紫郡,"[ 望城 月亮岛 ] 月亮岛路,近黄金东路",在售,8900,元/㎡
阳光城·尚东湾,[ 长沙周边 其他 ] 长沙大道与花候路交叉口东北角,在售,9300,元/㎡
宁乡碧桂园天悦,[ 宁乡 宁乡 ] 宁乡市人民北路与向前路交汇处（市一中...,在售,6300,元/㎡
联诚雅郡,[ 望城 斑马湖 ] 雷锋大道与雷锋东路交汇处,在售,6000,元/㎡
泰禹云开壹品·樾玺,[ 雨花 武广新城 ] 白冶路168号,在售,9800,元/㎡
大汉汉园,[ 望城 雷锋大道 ] 雷锋大道999号,在售,7022,元/㎡
湘熙水郡公寓,[ 岳麓 洋湖垸 ] 潇湘南路一段508号,在售,10000,元/㎡
金地自在城,[ 望城 雷锋大道 ] 雷锋大道,在售,6100,元/㎡
龙湖新壹城,[ 岳麓 洋湖垸 ] 洋湖国际新城先导路与湘浦路交汇处西南...,在售,17000,元/㎡
中建•璟和城,[ 雨花 汽车南站 ] 万家丽南路与金海路交汇处,在售,9300,元/㎡起
东能华府,[ 天心 南城省府 ] 书香路756号,在售,19000,元/㎡
华润翡翠府,[ 雨花 雨花中心 ] 香樟路与曙光路交汇处西北角（红星国际...,在售,13500,元/㎡起
山水英伦庄园,[ 岳麓 麓谷 ] 正兴路118号,在售,800,万元/套起
江山帝景,[ 岳麓 麓南含浦 ] 学士路,在售,8700,元/㎡
龙湖·春江悦茗,[ 天心 南城省府 ] 湘府路与新开铺路交汇东北处,在售,9700,元/㎡
北辰三角洲,[ 开福 新河三角洲 ] 湘江北路三段1200号,在售,16000,元/㎡
蔷薇国际,[ 岳麓 麓南含浦 ] 联丰路398号,在售,12228,元/㎡
鑫远悦时代,"[ 天心 南城省府 ] 芙蓉南路,近披塘路",在售,7820,元/㎡
佳兆业•云顶梅溪湖,[ 岳麓 梅溪湖 ] 环湖路488号,在售,11500,元/㎡
朗诗麓岛,[ 望城 斑马湖 ] 望城区政府对面（雷锋大道与望府路交汇...,在售,6970,元/㎡
碧桂园高尔夫花园,[ 望城 雷锋大道 ] 雷锋大道与黄金西路交汇处西北侧,在售,9700,元/㎡
五矿•万境蓝山,[ 雨花 汽车南站 ] 汇金路288号,待售,12000,元/㎡
中国铁建梅溪青秀,[ 岳麓 梅溪湖 ] 沐风路19号,在售,11825,元/㎡
振业城,[ 岳麓 梅溪湖 ] 麓景路628号,在售,11600,元/㎡
金科时代中心,[ 星沙 星沙中心 ] 向阳路1号,在售,9000,元/㎡
中建悦和城,[ 星沙 松雅湖 ] 星沙东四路与望仙路交汇处东南角,在售,9000,元/㎡
楚天郡府,[ 开福 城北 ] 湘江北路三段48号,在售,9700,元/㎡
鑫远御文台·玖寓,[ 天心 南城省府 ] 天心区新韶路与书香路交汇处往西30米,在售,11000,元/㎡
盛世耀凯三期,[ 岳麓 市府 ] 杜鹃路819号,在售,8500,元/㎡
尚鑫海悦,[ 星沙 松雅湖 ] 开元东路与东四线交汇处（建设中的地铁...,在售,11500,元/㎡
梅溪盛荟,[ 岳麓 梅溪湖 ] 枫林路与麓云路交汇处西北角,在售,9684,元/㎡
达美溪湖湾,[ 岳麓 梅溪湖 ] 环湖路798号,在售,18000,元/㎡起
中海·熙湾,[ 岳麓 梅溪湖 ] 梅溪湖南岸环湖路与景观绿轴交汇处西北...,在售,18000,元/㎡
万润·滨江天著,[ 望城 月亮岛 ] 银杉路与普瑞大道交汇处东南角,在售,8800,元/㎡
合能枫丹丽舍,"[ 雨花 武广新城 ] 体院路,近白冶路",在售,10600,元/㎡
凯尔·花缇紫郡,[ 望城 其他 ] 雷锋大道以西，同心路以北（临马桥河风...,在售,5730,元/㎡
天健城,[ 开福 开福中心 ] 芙蓉中路与开福寺路交汇处(芙蓉路口站...,在售,15000,元/㎡
正荣悦玺,[ 雨花 雨花中心 ] 东二环劳动路树木岭立交桥北行800米,在售,12000,元/㎡起
奥莱城,[ 望城 雷锋大道 ] 雷锋大道558号（环球奥特莱斯北侧）,在售,6280,元/㎡
中建昭山印象,[ 长沙周边 其他 ] 湘潭昭山示范区仰天湖公园中建7号路,在售,120,万元/套起
大财门·小金窝公寓,[ 雨花 雨花中心 ] 梓园路520号,在售,17500,元/㎡
合能•枫丹新里,[ 星沙 松雅湖 ] 长沙县湘龙家园楼东侧,在售,8500,元/㎡
裕天•国际商汇中心,[ 雨花 汽车南站 ] 时代阳光大道西529号,在售,13000,元/㎡起
东盈商业广场,[ 芙蓉 芙蓉中心 ] 远大一路708号,在售,16000,元/㎡
三润城,"[ 望城 月亮岛 ] 月亮岛路,近谷山路",在售,7100,元/㎡
洋沙小镇·君澜湾,[ 长沙周边 其他 ] 岳阳市湘阴县洋沙湖国际旅游度假区,在售,5000,元/㎡
君悦新天地,价格,在售,17000,元/㎡
深业堤亚纳湾,[ 开福 城北 ] 北二环一段169号,在售,7980,元/㎡
恒大御景半岛,[ 开福 城北 ] 开福区金马路61号,在售,14000,元/㎡
麦芒国际,[ 天心 南城省府 ] 杉木冲路与五凌路交汇处东南角（砂子塘...,在售,9100,元/㎡
善化国际,[ 星沙 松雅湖 ] 木坡路168号,在售,4559,元/㎡
通号岭绣苑,[ 岳麓 麓谷 ] 岳麓大道与汇智路交汇处东北角,在售,6700,元/㎡
富兴悦府,[ 望城 雷锋大道 ] 雷锋大道与普瑞大道交汇处（长沙医学院...,在售,6200,元/㎡
云栖国际,[ 长沙周边 其他 ] 长沙县黄兴镇绕城高速与湘府东路交汇处,在售,6180,元/㎡
浔龙河•学府,[ 长沙周边 其他 ] 黄兴大道,在售,10000,元/㎡
金科世界城,[ 岳麓 其他 ] 雷锋大道468号,待售,10673,元/m²
惠天然梅岭国际,[ 岳麓 梅溪湖 ] 看云路108号,在售,10100,元/㎡
