house_name,house_location,house_status,house_price,price_unit
金地悦峰,"[ 皇姑 首府新区 ] 鸭绿江街,近铁山路",在售,11000,元/㎡
万科翡翠四季,[ 浑南区 浑南区 ] 沈营大街66号,在售,12500,元/㎡起
万科翡翠公园,[ 于洪 于洪 ] 黄海路,在售,12000,元/㎡起
保利海德公园,"[ 于洪 于洪 ] 沈辽路,近大明湖街",在售,8800,元/㎡
沈阳恒大滨江左岸,[ 浑南区 浑南区 ] 浑南东路,在售,10000,元/㎡起
佳兆业悦峰,[ 和平 和平 ] 长白岛仙岛南路（东北气象局西侧）,在售,16000,元/㎡
中海天誉,[ 浑南区 浑南区 ] 高深东路7号（高深东路和智慧四街交汇...,在售,16000,元/㎡
富力·IFC,[ 沈河 北站 ] 友好街7号,在售,18000,元/㎡
集美万象,[ 浑南区 浑南区 ] 创新路与羊安三街交汇处(沈阳南站南80...,在售,9200,元/㎡
其仕和悦,[ 沈河 方家栏 ] 方家栏路（方家栏公园旁）,在售,14000,元/㎡
美的城,[ 于洪 丁香湖 ] 滨江街60号,在售,8000,元/㎡起
保利中粮堂悦,[ 大东 望花 ] 大东区柳林一街和生产路交汇处职业学院...,在售,11000,元/㎡起
沈阳恒大绿洲,[ 于洪 于洪新城 ] 南阳湖街166号,在售,8600,元/㎡
美的盛堂,[ 于洪 于洪新城 ] 南阳湖街与汪河南路交汇处（南阳湖大桥...,在售,12000,元/㎡
华海蓝境,[ 沈北新区 道义 ] 道义三街6-1号,在售,7200,元/㎡
龙湖天璞,[ 浑南区 东湖 ] 长安街7号,在售,300,万元/套起
奥园国际城,[ 苏家屯 区中心 ] 南京南街1178号,在售,5800,元/㎡起
融创融公馆,[ 于洪 丁香湖 ] 西江北街82号,在售,6500,元/㎡
华强城,[ 沈北新区 道义 ] 道义南大街10号,在售,8500,元/㎡
三盛颐景御园,[ 沈北新区 道义 ] 蒲丰路42号,在售,6000,元/㎡
碧桂园御长白·虹寓,"[ 和平 长白 ] 南京南街,近仙岛南路",在售,13000,元/㎡
颐盛壹号公馆,"[ 大东 东中街 ] 东边城街,近津桥路",在售,10888,元/㎡起
沈阳恒大名都,[ 和平 和平 ] 南京南街1001号,在售,7500,元/㎡
云尚天成,[ 浑南区 浑南区 ] 天成街6甲,在售,12000,元/㎡起
碧桂园九英里,[ 苏家屯 区中心 ] 丁香街285号,在售,6158,元/㎡
格林玫瑰湾,[ 和平 长白 ] 长白三街6号,在售,17000,元/㎡起
荣盛坤湖郦舍,[ 沈北新区 道义 ] 蒲南路11号,在售,5300,元/㎡
金地宸颂,[ 沈河 中街 ] 市府大路与万寿寺街交汇处南行50米,在售,17500,元/㎡
荣盛锦绣御景,[ 沈北新区 蒲河 ] 盛京大街36号,在售,7800,元/㎡
瑞龙辽中城,[ 辽中 辽中镇 ] 迎宾路31-2号,在售,3600,元/㎡
东方银座莱茵城,[ 铁西 经济技术开发区 ] 中德产业园浑河西峡谷公园主广场正对面,在售,5800,元/㎡
中瑞北欧云墅,[ 于洪 于洪新城 ] 细河路,在售,90,万元/套
卓尔沈阳客厅,[ 于洪 荷兰村 ] 元江街20-1号,在售,9500,元/㎡
中港城永安嘉苑,[ 于洪 于洪 ] 洪源路10号,在售,5900,元/㎡起
万科西华府,"[ 铁西 经济技术开发区 ] 昆明湖街,近花海路",在售,14000,元/㎡
明发广场,"[ 沈北新区 沈北新区 ] 蒲河路,近蒲北路",在售,6500,元/㎡
北国奥林匹克花园,[ 苏家屯 区中心 ] 雪松东路1号,在售,6200,元/㎡起
新加坡花园,[ 于洪 于洪新城 ] 细河南路164号,在售,8400,元/㎡
碧桂园莫奈小镇,[ 沈北新区 蒲河 ] 碧桂大街,在售,8500,元/㎡起
融创中央学府,"[ 沈北新区 沈北新区 ] 七星大街,近蒲新路",在售,7500,元/㎡
沈河府,[ 浑南区 长青桥 ] 南堤东路1号,在售,15000,元/㎡
沈阳五彩阳光城,[ 于洪 于洪 ] 沈北西路,在售,8000,元/㎡
中海寰宇天下公寓,[ 皇姑 怒江 ] 昆山西路75号,在售,8000,元/㎡
宝能GFC,[ 沈河 沈河 ] 青年大街268号,在售,26000,元/㎡
明华香峪兰溪,[ 沈北新区 道义 ] 沈北路35号（沈北路与梅江北街交汇处）,在售,5500,元/㎡
富海澜湾半岛,[ 和平 长白 ] 长白南路330号,在售,20000,元/㎡起
亿博隆河谷,[ 浑南区 浑南区 ] 沈营大街526号,在售,12000,元/㎡
泰盈十里锦城,[ 苏家屯 苏家屯 ] 雪莲街111号,在售,6800,元/㎡
国瑞城瑞府,[ 大东 二台子 ] 东建街31号,在售,6000,元/㎡
保利大都会,[ 皇姑 省政府 ] 北陵大街17号,在售,17000,元/㎡
阳光100凤凰湾,[ 于洪 于洪新城 ] 阳光路,在售,8500,元/㎡
顶盛国际花园,[ 苏家屯 区中心 ] 南京南街1028号,在售,7100,元/㎡
国瑞城瑞公馆,[ 大东 大东 ] 东北大马路398号（国瑞城内）,在售,5500,元/㎡
盛融万恒府城铭邸,价格,在售,10000,元/㎡
宏发英里蓝湾,[ 于洪 于洪新城 ] 南阳湖街148号,在售,7600,元/㎡
沈阳星河湾,[ 浑南区 浑南区 ] 白塔河二路120号,在售,18000,元/㎡起
格林木棉花,[ 于洪 荷兰村 ] 西江街221-10号,在售,8300,元/㎡
万科城市阳光,[ 铁西 铁西 ] 卫工北街,在售,13000,元/㎡
明发锦绣华城,[ 沈北新区 道义 ] 道义北大街36-1号,在售,5500,元/㎡起
中铁香湖,"[ 于洪 丁香湖 ] 元江街,近橙山路",在售,12000,元/㎡
悦时光,[ 于洪 于洪 ] 千山西路,在售,8500,元/㎡起
新希望锦麟河院,[ 浑南区 浑南区 ] 浑南区东陵东路86号（鸟岛东行1000米）,待售,11919,元/m²
银基观澜庭,[ 沈河 沈河 ] 沈水路608号,在售,20000,元/㎡
茂业金廊壹号,[ 沈河 东五里河 ] 青年大街185号,在售,15000,元/㎡
华强商业金融中心,[ 沈河 沈河 ] 青年大街236号,在售,19000,元/㎡
中海寰宇天下,[ 皇姑 怒江 ] 昆山西路75号（玉山路上）,在售,15000,元/㎡
富力星月湾,[ 沈北新区 蒲河 ] 沈北路208号(东北育才双语学校东侧),在售,12000,元/㎡
恒大盛京珺庭,[ 于洪 造化 ] 西江北街与青城山路交汇处北行500米,在售,9600,元/㎡
广厦绿园,[ 于洪 丁香湖 ] 元江街52,在售,9500,元/㎡
万科翡翠新都会,[ 铁西 铁西 ] 重工北街与北一西路交汇处,在售,13000,元/㎡
